Incident ID,Incident Number,Incident Category
1,180985063,Malicious Mischief
1,180952551,Recovered Vehicle
1,180971460,Larceny Theft
1,180938567,Other Miscellaneous
1,180915747,Fraud
1,180908009,Offences Against The Family And Children
1,180964465,Drug Offense
1,180922792,Missing Person
1,180943679,Fraud
2,180924180,Offences Against The Family And Children
1,180914909,Larceny Theft
1,180908811,Robbery
1,180934418,Other Miscellaneous
1,186284146,Malicious Mischief
1,186294173,Larceny Theft
3,180957341,Larceny Theft
3,180973052,Burglary
1,186286625,Larceny Theft
1,186278729,Larceny Theft
1,180931925,Other Miscellaneous
1,180933250,Warrant
1,186278365,Larceny Theft
1,180918729,Other
1,180967710,Recovered Vehicle
1,180979066,Other Miscellaneous
1,186301944,Larceny Theft
1,180936765,Malicious Mischief
1,180941996,Larceny Theft
1,180955317,Non-Criminal
1,186297650,Larceny Theft
2,180909524,Missing Person
1,180930159,Malicious Mischief
1,180951901,Larceny Theft
1,186299719,Larceny Theft
1,186301342,Larceny Theft
1,180928461,Malicious Mischief
1,180970832,Larceny Theft
1,186301267,Larceny Theft
1,180925279,Fraud
1,180938307,Other Miscellaneous
2,180926302,Warrant
2,180932274,Weapons Offense
1,180953026,Larceny Theft
2,180950088,Robbery
1,190012719,Larceny Theft
1,186292252,Larceny Theft
1,190018278,Sex Offense
2,180972957,Other Miscellaneous
1,180943180,Miscellaneous Investigation
1,180912323,Larceny Theft
1,180964346,Larceny Theft
1,171047078,Recovered Vehicle
1,180970202,Suspicious Occ
2,180907885,Offences Against The Family And Children
2,186284516,Larceny Theft
1,180963837,Other Offenses
1,180959375,Assault
1,180980734,Motor Vehicle Theft
1,180919147,Motor Vehicle Theft
1,180938460,Missing Person
2,180966308,Missing Person
1,186296470,Larceny Theft
1,180940302,Non-Criminal
2,180984855,Other Miscellaneous
1,186291367,Larceny Theft
1,180952266,Miscellaneous Investigation
1,180963768,Larceny Theft
1,180968207,Recovered Vehicle
1,180908366,Other Miscellaneous
1,180939446,Robbery
1,180949677,Assault
1,180967027,Other Miscellaneous
1,180956387,Other Miscellaneous
1,186299082,Malicious Mischief
1,180949542,Miscellaneous Investigation
1,186295284,Malicious Mischief
1,186286669,Larceny Theft
1,180948403,Malicious Mischief
1,180977311,Non-Criminal
1,186299690,Malicious Mischief
1,180983841,Malicious Mischief
1,180909091,Warrant
1,180918218,Other Miscellaneous
1,180933363,Malicious Mischief
2,186294753,Larceny Theft
1,180959171,Non-Criminal
1,180912925,Other Miscellaneous
1,190018193,Malicious Mischief
1,180932553,Other Miscellaneous
1,186287388,Larceny Theft
1,180952222,Assault
1,180963150,Lost Property
1,180954278,Warrant
1,180960548,Courtesy Report
3,180979765,Drug Offense
1,186301869,Malicious Mischief
1,186279686,Larceny Theft
1,180961477,Assault
1,180981425,Family Offense
1,186286459,Larceny Theft
1,180930808,Larceny Theft
1,180942734,Assault
1,180952216,Motor Vehicle Theft
1,180965071,Malicious Mischief
1,180840592,Burglary
1,180932519,Recovered Vehicle
1,186281459,Larceny Theft
1,180956462,Suspicious Occ
1,180957250,Disorderly Conduct
1,186289992,Larceny Theft
1,180885849,Other Miscellaneous
1,180661893,Motor Vehicle Theft
1,190009960,Offences Against The Family And Children
1,180967356,Assault
1,180978137,Warrant
1,180949081,Recovered Vehicle
1,180978159,Traffic Collision
2,186291953,Larceny Theft
1,180985182,Burglary
1,180892822,Warrant
