Incident Date,Incident ID,Incident Category
2018/12/30,1,Other
2018/12/15,9,Recovered Vehicle
2018/12/10,33,Other Miscellaneous
2018/12/11,2,Miscellaneous Investigation
2018/12/08,134,Larceny Theft
2018/12/31,2,Other
2018/12/20,1,Sex Offense
2018/12/07,7,Traffic Violation Arrest
2018/12/03,14,Warrant
2018/12/01,1,Courtesy Report
2018/12/13,115,Larceny Theft
2018/12/28,24,Lost Property
2018/12/05,3,Weapons Carrying Etc
2018/12/05,8,Suspicious Occ
2018/12/10,17,Non-Criminal
2018/12/19,156,Larceny Theft
2018/12/03,1,Case Closure
2018/12/06,8,Malicious Mischief
2018/12/04,4,Forgery And Counterfeiting
2018/12/16,7,Missing Person
2018/12/11,16,Lost Property
2018/12/21,15,Robbery
2018/12/17,2,Miscellaneous Investigation
2018/12/12,27,Assault
2018/12/29,12,Fraud
2018/12/01,14,Non-Criminal
2018/12/09,2,Other
2018/12/23,19,Assault
2018/12/16,12,Burglary
2018/12/04,1,Arson
2018/12/10,2,Courtesy Report
2018/12/18,3,Sex Offense
2018/12/17,8,Lost Property
2018/12/04,3,Offences Against The Family And Children
2018/12/07,19,Motor Vehicle Theft
2018/12/17,3,Prostitution
2018/12/05,14,Robbery
2018/12/02,2,Drug Offense
2018/12/01,32,Other Miscellaneous
2018/12/27,2,Sex Offense
2018/12/26,12,Recovered Vehicle
2018/12/23,33,Malicious Mischief
2018/12/29,1,Fire Report
2018/12/12,15,Malicious Mischief
2018/12/21,12,Suspicious Occ
2018/12/03,6,Disorderly Conduct
2018/12/14,3,Weapons Offense
2018/12/12,36,Other Miscellaneous
2019/01/01,4,Lost Property
2018/12/29,6,Drug Offense
2018/12/06,1,Courtesy Report
2018/12/23,23,Other Miscellaneous
2018/12/30,1,Prostitution
2018/12/08,6,Robbery
2018/12/02,1,Fire Report
2018/12/14,1,Civil Sidewalks
2018/12/16,9,Offences Against The Family And Children
2018/12/27,16,Recovered Vehicle
2018/12/31,21,Lost Property
2018/12/01,25,Malicious Mischief
2018/12/30,12,Lost Property
2018/12/22,9,Weapons Offense
2018/12/04,16,Burglary
2018/12/12,24,Non-Criminal
2018/12/23,22,Non-Criminal
2018/12/16,2,Arson
2018/12/13,13,Robbery
2018/12/11,1,Other Offenses
2018/12/02,5,Fraud
2018/12/03,13,Motor Vehicle Theft
2018/12/28,4,Other
2018/12/01,15,Assault
2018/12/31,1,Miscellaneous Investigation
2018/12/21,135,Larceny Theft
2018/12/11,4,Other
2018/12/07,7,Disorderly Conduct
2018/12/28,5,Other Offenses
2018/12/18,22,Recovered Vehicle
2018/12/15,1,Vehicle Impounded
2018/12/30,4,Miscellaneous Investigation
2018/12/19,14,Robbery
2018/12/01,3,Forgery And Counterfeiting
2018/12/29,19,Motor Vehicle Theft
2018/12/23,9,Missing Person
2018/12/10,2,Arson
2018/12/04,1,Courtesy Report
2018/12/05,3,Miscellaneous Investigation
2018/12/12,14,Missing Person
2018/12/09,119,Larceny Theft
2018/12/03,11,Drug Offense
2018/12/26,2,Traffic Collision
2018/12/12,1,Embezzlement
2018/12/10,13,Offences Against The Family And Children
2018/12/11,4,Weapons Carrying Etc
2018/12/15,1,Weapons Offense
2018/12/11,3,Suspicious Occ
2018/12/07,21,Fraud
2018/12/25,1,Weapons Offense
2018/12/28,2,Weapons Carrying Etc
2018/12/25,1,Suspicious
2018/12/17,17,Robbery
2018/12/28,7,Suspicious Occ
2018/12/02,5,Disorderly Conduct
2018/12/24,2,Weapons Offense
2018/12/06,15,Burglary
2018/12/05,11,Lost Property
2018/12/06,2,Arson
2018/12/15,1,Civil Sidewalks
2018/12/31,11,Robbery
2018/12/08,22,Lost Property
2018/12/30,15,Robbery
2018/12/19,2,Miscellaneous Investigation
2018/12/09,8,Suspicious Occ
2018/12/12,1,Vandalism
2018/12/09,2,Weapons Carrying Etc
2018/12/20,1,Vehicle Misplaced
2018/12/29,6,Disorderly Conduct
2018/12/24,1,Civil Sidewalks
2018/12/13,3,Miscellaneous Investigation
2018/12/08,6,Miscellaneous Investigation
2018/12/11,107,Larceny Theft
2018/12/03,9,Fraud
2018/12/10,8,Burglary
2018/12/21,5,Other
2018/12/02,10,Motor Vehicle Theft
2018/12/16,2,Courtesy Report
2018/12/19,18,Lost Property
2018/12/12,2,Forgery And Counterfeiting
2018/12/07,9,Drug Offense
2018/12/18,1,Traffic Collision
2018/12/01,10,Missing Person
2018/12/24,1,Motor Vehicle Theft?
2018/12/13,1,Prostitution
2018/12/28,157,Larceny Theft
2018/12/13,15,Lost Property
2018/12/21,1,Other Offenses
2018/12/20,3,Weapons Offense
2018/12/06,17,Offences Against The Family And Children
2018/12/15,25,Malicious Mischief
2018/12/13,2,Drug Offense
2018/12/05,9,Fraud
2018/12/20,22,Non-Criminal
2018/12/11,6,Traffic Violation Arrest
2018/12/12,1,Suicide
2018/12/28,4,Traffic Violation Arrest
2018/12/19,8,Drug Offense
2018/12/07,17,Lost Property
2018/12/21,1,Family Offense
2018/12/17,16,Motor Vehicle Theft
2018/12/25,15,Malicious Mischief
2018/12/09,2,Stolen Property
2018/12/10,2,Sex Offense
2018/12/07,2,Prostitution
2018/12/24,21,Malicious Mischief
2018/12/06,8,Recovered Vehicle
2018/12/25,18,Assault
2018/12/22,1,Vandalism
2018/12/24,17,Assault
2018/12/29,7,Robbery
2018/12/09,1,Case Closure
2018/12/01,1,Vehicle Impounded
2018/12/20,38,Other Miscellaneous
2018/12/29,1,Homicide
2018/12/07,4,Miscellaneous Investigation
2018/12/14,2,Missing Person
2018/12/31,7,Disorderly Conduct
2018/12/30,5,Disorderly Conduct
2018/12/15,31,Assault
2018/12/08,5,Drug Offense
2018/12/09,18,Warrant
2018/12/24,18,Non-Criminal
2018/12/14,2,Forgery And Counterfeiting
2018/12/11,17,Warrant
2018/12/13,7,Fraud
2018/12/05,24,Drug Offense
2018/12/02,9,Robbery
2018/12/08,1,Fire Report
2018/12/25,27,Non-Criminal
2018/12/17,14,Disorderly Conduct
2018/12/11,1,Case Closure
2018/12/19,17,Fraud
2018/12/20,26,Malicious Mischief
2018/12/26,1,Courtesy Report
2018/12/28,10,Warrant
2018/12/03,20,Lost Property
2018/12/15,23,Non-Criminal
2018/12/25,25,Other Miscellaneous
2018/12/11,2,Stolen Property
2018/12/31,17,Motor Vehicle Theft
2018/12/24,20,Other Miscellaneous
2018/12/30,17,Motor Vehicle Theft
2018/12/04,1,Traffic Collision
2018/12/19,1,Fire Report
2018/12/20,25,Assault
2018/12/22,6,Missing Person
2018/12/09,6,Traffic Violation Arrest
2018/12/10,14,Recovered Vehicle
2018/12/03,9,Miscellaneous Investigation
2018/12/15,23,Other Miscellaneous
2018/12/13,1,Fire Report
2018/12/08,10,Fraud
2018/12/28,1,Stolen Property
2018/12/24,1,Embezzlement
2018/12/20,1,Forgery And Counterfeiting
2018/12/07,10,Robbery
2018/12/25,1,Embezzlement
2018/12/16,5,Recovered Vehicle
2018/12/27,7,Offences Against The Family And Children
2018/12/05,19,Motor Vehicle Theft
2018/12/19,6,Disorderly Conduct
2018/12/12,2,Weapons Offense
2018/12/01,1,Civil Sidewalks
2018/12/22,28,Non-Criminal
2018/12/14,22,Malicious Mischief
2018/12/04,2,Sex Offense
2018/12/13,4,Disorderly Conduct
2018/12/21,4,Traffic Violation Arrest
2018/12/28,1,Family Offense
2018/12/17,8,Fraud
2018/12/23,5,Weapons Offense
2018/12/30,5,Drug Offense
2018/12/18,4,Offences Against The Family And Children
2018/12/08,11,Disorderly Conduct
2018/12/15,5,Missing Person
2018/12/26,11,Burglary
2018/12/31,2,Drug Offense
2018/12/14,31,Assault
2018/12/22,36,Other Miscellaneous
2018/12/27,2,Arson
2018/12/24,15,Missing Person
